captured_at,value_date,broker,pair,side,swap_points,days,unit,source_url,raw_value,normalized_swap_per_10k,normalized_swap_per_10k_per_day,error
2026-08-31T00:17:50+00:00,2026-08-28,外為どっとコム,USDJPY,buy,117,1,10000,https://www.gaitame.com/products/nextneo/csv/202608.csv,117,117.0,117.0,
2026-08-31T00:17:50+00:00,2026-08-28,外為どっとコム,USDJPY,sell,-147,1,10000,https://www.gaitame.com/products/nextneo/csv/202608.csv,-147,-147.0,-147.0,
2026-08-31T00:17:50+00:00,2026-08-28,外為どっとコム,EURJPY,buy,63,1,10000,https://www.gaitame.com/products/nextneo/csv/202608.csv,63,63.0,63.0,
2026-08-31T00:17:50+00:00,2026-08-28,外為どっとコム,EURJPY,sell,-83,1,10000,https://www.gaitame.com/products/nextneo/csv/202608.csv,-83,-83.0,-83.0,
2026-08-31T00:17:50+00:00,2026-08-27,外為どっとコム,GBPJPY,buy,164,1,10000,https://www.gaitame.com/products/nextneo/csv/202608.csv,164,164.0,164.0,
2026-08-31T00:17:50+00:00,2026-08-27,外為どっとコム,GBPJPY,sell,-179,1,10000,https://www.gaitame.com/products/nextneo/csv/202608.csv,-179,-179.0,-179.0,
2026-08-31T00:17:50+00:00,2026-08-28,外為どっとコム,AUDJPY,buy,97,1,10000,https://www.gaitame.com/products/nextneo/csv/202608.csv,97,97.0,97.0,
2026-08-31T00:17:50+00:00,2026-08-28,外為どっとコム,AUDJPY,sell,-112,1,10000,https://www.gaitame.com/products/nextneo/csv/202608.csv,-112,-112.0,-112.0,
2026-08-31T00:17:50+00:00,2026-08-28,外為どっとコム,NZDJPY,buy,38,1,10000,https://www.gaitame.com/products/nextneo/csv/202608.csv,38,38.0,38.0,
2026-08-31T00:17:50+00:00,2026-08-28,外為どっとコム,NZDJPY,sell,-58,1,10000,https://www.gaitame.com/products/nextneo/csv/202608.csv,-58,-58.0,-58.0,
2026-08-31T00:17:50+00:00,2026-08-28,外為どっとコム,TRYJPY,buy,23,1,10000,https://www.gaitame.com/products/nextneo/csv/202608.csv,23,23.0,23.0,
2026-08-31T00:17:50+00:00,2026-08-28,外為どっとコム,TRYJPY,sell,-33,1,10000,https://www.gaitame.com/products/nextneo/csv/202608.csv,-33,-33.0,-33.0,
2026-08-31T00:17:50+00:00,2026-08-28,外為どっとコム,MXNJPY,buy,13,1,10000,https://www.gaitame.com/products/nextneo/csv/202608.csv,13,13.0,13.0,
2026-08-31T00:17:50+00:00,2026-08-28,外為どっとコム,MXNJPY,sell,-18,1,10000,https://www.gaitame.com/products/nextneo/csv/202608.csv,-18,-18.0,-18.0,
2026-08-31T00:17:50+00:00,2026-08-28,外為どっとコム,ZARJPY,buy,12,1,10000,https://www.gaitame.com/products/nextneo/csv/202608.csv,12,12.0,12.0,
2026-08-31T00:17:50+00:00,2026-08-28,外為どっとコム,ZARJPY,sell,-17,1,10000,https://www.gaitame.com/products/nextneo/csv/202608.csv,-17,-17.0,-17.0,
2026-08-31T00:17:50+00:00,2026-08-28,外為どっとコム,HUFJPY,buy,6,1,100000,https://www.gaitame.com/products/nextneo/csv/202608.csv,6,0.6,0.6,
2026-08-31T00:17:50+00:00,2026-08-28,外為どっとコム,HUFJPY,sell,-11,1,100000,https://www.gaitame.com/products/nextneo/csv/202608.csv,-11,-1.1,-1.1,
2026-08-31T00:17:50+00:00,2026-08-28,みんなのFX,USDJPY,buy,117.0,1,10000,https://min-fx.jp/market/swap/,117.0,117.0,117.0,
2026-08-31T00:17:50+00:00,2026-08-28,みんなのFX,USDJPY,sell,-117.0,1,10000,https://min-fx.jp/market/swap/,-117.0,-117.0,-117.0,
2026-08-31T00:17:50+00:00,2026-08-28,みんなのFX,EURJPY,buy,80.0,1,10000,https://min-fx.jp/market/swap/,80.0,80.0,80.0,
2026-08-31T00:17:50+00:00,2026-08-28,みんなのFX,EURJPY,sell,-80.0,1,10000,https://min-fx.jp/market/swap/,-80.0,-80.0,-80.0,
2026-08-31T00:17:50+00:00,2026-08-27,みんなのFX,GBPJPY,buy,165.0,1,10000,https://min-fx.jp/market/swap/,165.0,165.0,165.0,
2026-08-31T00:17:50+00:00,2026-08-27,みんなのFX,GBPJPY,sell,-165.0,1,10000,https://min-fx.jp/market/swap/,-165.0,-165.0,-165.0,
2026-08-31T00:17:50+00:00,2026-08-28,みんなのFX,AUDJPY,buy,110.0,1,10000,https://min-fx.jp/market/swap/,110.0,110.0,110.0,
2026-08-31T00:17:50+00:00,2026-08-28,みんなのFX,AUDJPY,sell,-110.0,1,10000,https://min-fx.jp/market/swap/,-110.0,-110.0,-110.0,
2026-08-31T00:17:50+00:00,2026-08-28,みんなのFX,NZDJPY,buy,49.0,1,10000,https://min-fx.jp/market/swap/,49.0,49.0,49.0,
2026-08-31T00:17:50+00:00,2026-08-28,みんなのFX,NZDJPY,sell,-49.0,1,10000,https://min-fx.jp/market/swap/,-49.0,-49.0,-49.0,
2026-08-31T00:17:50+00:00,2026-08-28,みんなのFX,TRYJPY,buy,23.3,1,10000,https://min-fx.jp/market/swap/,23.3,23.3,23.3,
2026-08-31T00:17:50+00:00,2026-08-28,みんなのFX,TRYJPY,sell,-23.3,1,10000,https://min-fx.jp/market/swap/,-23.3,-23.3,-23.3,
2026-08-31T00:17:50+00:00,2026-08-28,みんなのFX,MXNJPY,buy,15.1,1,100000,https://min-fx.jp/market/swap/,15.1,1.51,1.51,
2026-08-31T00:17:50+00:00,2026-08-28,みんなのFX,MXNJPY,sell,-15.1,1,100000,https://min-fx.jp/market/swap/,-15.1,-1.51,-1.51,
2026-08-31T00:17:50+00:00,2026-08-28,みんなのFX,ZARJPY,buy,15.4,1,100000,https://min-fx.jp/market/swap/,15.4,1.54,1.54,
2026-08-31T00:17:50+00:00,2026-08-28,みんなのFX,ZARJPY,sell,-15.4,1,100000,https://min-fx.jp/market/swap/,-15.4,-1.54,-1.54,
2026-08-31T00:17:50+00:00,2026-08-28,みんなのFX,HUFJPY,buy,7.0,1,100000,https://min-fx.jp/market/swap/,7.0,0.7,0.7,
2026-08-31T00:17:50+00:00,2026-08-28,みんなのFX,HUFJPY,sell,-7.0,1,100000,https://min-fx.jp/market/swap/,-7.0,-0.7,-0.7,
2026-08-31T00:17:50+00:00,2026-08-28,LIGHT FX,USDJPY,buy,118.0,1,10000,https://lightfx.jp/market/swap/,118.0,118.0,118.0,
2026-08-31T00:17:50+00:00,2026-08-28,LIGHT FX,USDJPY,sell,-118.0,1,10000,https://lightfx.jp/market/swap/,-118.0,-118.0,-118.0,
2026-08-31T00:17:50+00:00,2026-08-28,LIGHT FX,EURJPY,buy,81.0,1,10000,https://lightfx.jp/market/swap/,81.0,81.0,81.0,
2026-08-31T00:17:50+00:00,2026-08-28,LIGHT FX,EURJPY,sell,-81.0,1,10000,https://lightfx.jp/market/swap/,-81.0,-81.0,-81.0,
2026-08-31T00:17:50+00:00,2026-08-27,LIGHT FX,GBPJPY,buy,166.0,1,10000,https://lightfx.jp/market/swap/,166.0,166.0,166.0,
2026-08-31T00:17:50+00:00,2026-08-27,LIGHT FX,GBPJPY,sell,-166.0,1,10000,https://lightfx.jp/market/swap/,-166.0,-166.0,-166.0,
2026-08-31T00:17:50+00:00,2026-08-28,LIGHT FX,AUDJPY,buy,111.0,1,10000,https://lightfx.jp/market/swap/,111.0,111.0,111.0,
2026-08-31T00:17:50+00:00,2026-08-28,LIGHT FX,AUDJPY,sell,-111.0,1,10000,https://lightfx.jp/market/swap/,-111.0,-111.0,-111.0,
2026-08-31T00:17:50+00:00,2026-08-28,LIGHT FX,NZDJPY,buy,50.0,1,10000,https://lightfx.jp/market/swap/,50.0,50.0,50.0,
2026-08-31T00:17:50+00:00,2026-08-28,LIGHT FX,NZDJPY,sell,-50.0,1,10000,https://lightfx.jp/market/swap/,-50.0,-50.0,-50.0,
2026-08-31T00:17:50+00:00,2026-08-28,LIGHT FX,TRYJPY,buy,23.1,1,10000,https://lightfx.jp/market/swap/,23.1,23.1,23.1,
2026-08-31T00:17:50+00:00,2026-08-28,LIGHT FX,TRYJPY,sell,-23.1,1,10000,https://lightfx.jp/market/swap/,-23.1,-23.1,-23.1,
2026-08-31T00:17:50+00:00,2026-08-28,LIGHT FX,MXNJPY,buy,14.1,1,100000,https://lightfx.jp/market/swap/,14.1,1.41,1.41,
2026-08-31T00:17:50+00:00,2026-08-28,LIGHT FX,MXNJPY,sell,-14.1,1,100000,https://lightfx.jp/market/swap/,-14.1,-1.41,-1.41,
2026-08-31T00:17:50+00:00,2026-08-28,LIGHT FX,ZARJPY,buy,14.1,1,100000,https://lightfx.jp/market/swap/,14.1,1.41,1.41,
2026-08-31T00:17:50+00:00,2026-08-28,LIGHT FX,ZARJPY,sell,-14.1,1,100000,https://lightfx.jp/market/swap/,-14.1,-1.41,-1.41,
